pop_id	population	latitude	longitude	family	urban_rural	sample_source	ethnic_origin	geographic_region	sample_size	test_date	source_url	retrieved_at
italy-east-sicily	Italy East Sicily	37º 30' N	15º 4' E	Grandparents live at same location	Urban and Rural	Bone Marrow Registry	Caucasoid	Europe	50	2015	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Italy%20East%20Sicily	2026-08-26
italy-kir	Italy KIR	44º 30' N	11º 21' E	Not Known	Urban and Rural	Anthropology Study	Caucasoid	Europe	217	2004	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Italy%20KIR	2026-08-26
italy-lombardy	Italy Lombardy	45º 11' N	9º 9' E	Not Known	Urban and Rural	Bone Marrow Registry	Caucasoid	Europe	674	2009	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Italy%20Lombardy	2026-08-26
italy-lombardy-kir	Italy Lombardy KIR	45º 0' N	9º 0' E	Grandparents live at same location	Urban and Rural	Anthropology Study	Caucasoid	Europe	50	2007	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Italy%20Lombardy%20KIR	2026-08-26
italy-mic	Italy MIC	45º 27' N	8º 37' E	Not Known	Urban	Other	Caucasoid	Europe	101	2000	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Italy%20MIC	2026-08-26
italy-mic-pop-2	Italy MIC pop 2	41º 54' N	12º 30' E	Not Known	Unknown	Controls for Disease Study	Caucasoid	Europe	98	2001	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Italy%20MIC%20pop%202	2026-08-26
italy-milan-cytokine	Italy Milan Cytokine	45º 28' N	9º 12' E	Not Known	Urban and Rural	Controls for Disease Study	Caucasoid	Europe	94	2006	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Italy%20Milan%20Cytokine	2026-08-26
italy-north	Italy North	45º 25' N	9º 11' E	Not Known	Unknown	Anthropology Study	Caucasoid	Europe	277	2006	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Italy%20North	2026-08-26
italy-north-cytokine	Italy North Cytokine	44º 29' N	11º 23' E	Not Known	Unknown	Blood Donor	Caucasoid	Europe	363	2001	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Italy%20North%20Cytokine	2026-08-26
italy-north-pavia	Italy North Pavia	45º 11' N	9º 9' E	Not Known	Urban and Rural	Bone Marrow Registry	Caucasoid	Europe	81	2002	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Italy%20North%20Pavia	2026-08-26
italy-north-pavia-cytokine	Italy North Pavia Cytokine	45º 0' N	9º 0' E	Not Known	Urban and Rural	Bone Marrow Registry	Caucasoid	Europe	58	2002	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Italy%20North%20Pavia%20Cytokine	2026-08-26
italy-north-pavia-pop-2	Italy North Pavia pop 2	45º 11' N	9º 9' E	Parents live at same location	Urban and Rural	Other	Caucasoid	Europe	2416	2007	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Italy%20North%20Pavia%20pop%202	2026-08-26
italy-north-pavia-pop-3	Italy North Pavia pop 3	45º 11' N	9º 9' E	Not Known	Unknown	Other	Caucasoid	Europe	685	2013	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Italy%20North%20Pavia%20pop%203	2026-08-26
italy-north-pop-2	Italy North pop 2	45º 4' N	7º 42' E	Not Known	Urban and Rural	Other	Caucasoid	Europe	2054	1995	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Italy%20North%20pop%202	2026-08-26
italy-north-pop-3	Italy North pop 3	43º 0' N	12º 0' E	Not Known	Unknown	Anthropology Study	Caucasoid	Europe	97 (A = 26, B = 15, DPB1 = 50)	1998	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Italy%20North%20pop%203	2026-08-26
italy-perugia-mic	Italy Perugia MIC	43º 7' N	12º 23' E	Not Known	Urban	Controls for Disease Study	Caucasoid	Europe	158	2004	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Italy%20Perugia%20MIC	2026-08-26
italy-rome	Italy Rome	41º 54' N	12º 27' E	Not Known	Urban	Anthropology Study	Caucasoid	Europe	100 (DQA1 = 66)	1997	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Italy%20Rome	2026-08-26
italy-rome-mic	Italy Rome MIC	41º 54' N	12º 30' E	Not Known	Unknown	Anthropology Study	Caucasoid	Europe	26	1995	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Italy%20Rome%20MIC	2026-08-26
italy-sardinia	Italy Sardinia	39º 14' N	9º 3' E	Not Known	Unknown	Other	Caucasoid	Europe	86	2000	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Italy%20Sardinia	2026-08-26
italy-sardinia-cagliari	Italy Sardinia Cagliari	39º 14' N	9º 3' E	Parents live at same location	Rural	Anthropology Study	Caucasoid	Europe	87	1999	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Italy%20Sardinia%20Cagliari	2026-08-26
italy-sardinia-cagliari-kir	Italy Sardinia Cagliari KIR	39º 13' N	9º 6' E	Not Known	Unknown	Bone Marrow Registry	Mixed	Europe	181	2011	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Italy%20Sardinia%20Cagliari%20KIR	2026-08-26
italy-sardinia-carbonia	Italy Sardinia Carbonia	39º 10' N	8º 31' E	Parents live at same location	Rural	Anthropology Study	Caucasoid	Europe	91	1999	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Italy%20Sardinia%20Carbonia	2026-08-26
italy-sardinia-cytokine	Italy Sardinia Cytokine	39º 14' N	9º 3' E	Grandparents live at same location	Urban and Rural	Anthropology Study	Caucasoid	Europe	137	2001	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Italy%20Sardinia%20Cytokine	2026-08-26
italy-sardinia-lanusei	Italy Sardinia Lanusei	39º 53' N	9º 33' E	Parents live at same location	Rural	Anthropology Study	Caucasoid	Europe	87	1999	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Italy%20Sardinia%20Lanusei	2026-08-26
italy-sardinia-oristano	Italy Sardinia Oristano	39º 54' N	8º 35' E	Parents live at same location	Rural	Anthropology Study	Caucasoid	Europe	91	1999	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Italy%20Sardinia%20Oristano	2026-08-26
italy-sardinia-sassari	Italy Sardinia Sassari	40º 43' N	8º 33' E	Parents live at same location	Rural	Anthropology Study	Caucasoid	Europe	91	1999	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Italy%20Sardinia%20Sassari	2026-08-26
italy-sardinia-sorgono	Italy Sardinia Sorgono	40º 2' N	9º 6' E	Parents live at same location	Rural	Anthropology Study	Caucasoid	Europe	93	1999	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Italy%20Sardinia%20Sorgono	2026-08-26
italy-sardinia-tempio	Italy Sardinia Tempio	40º 54' N	9º 6' E	Parents live at same location	Rural	Anthropology Study	Caucasoid	Europe	91	1999	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Italy%20Sardinia%20Tempio	2026-08-26
italy-sardinia-pop-4	Italy Sardinia pop 4	39º 15' N	9º 3' E	Not Known	Unknown	Controls for Disease Study	Caucasoid	Europe	49	1991	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Italy%20Sardinia%20pop%204	2026-08-26
italy-sardinia-pop2	Italy Sardinia pop2	39º 14' N	9º 3' E	Not Known	Urban and Rural	Controls for Disease Study	Caucasoid	Europe	1129	2005	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Italy%20Sardinia%20pop2	2026-08-26
italy-sardinia-pop3	Italy Sardinia pop3	39º 14' N	9º 3' E	Grandparents live at same location	Unknown	Anthropology Study	Caucasoid	Europe	100	2000	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Italy%20Sardinia%20pop3	2026-08-26
italy-sicily-cytokine	Italy Sicily Cytokine	38º 7' N	13º 22' E	Grandparents live at same location	Urban	Anthropology Study	Caucasoid	Europe	106	2002	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Italy%20Sicily%20Cytokine	2026-08-26
italy-sicily-west	Italy Sicily West	38º 0' N	13º 0' E	Grandparents live at same location	Urban	Controls for Disease Study	Caucasoid	Europe	220	2006	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Italy%20Sicily%20West	2026-08-26
italy-south	Italy South	40º 50' N	14º 15' E	Not Known	Unknown	Anthropology Study	Caucasoid	Europe	141	2006	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Italy%20South	2026-08-26
italy-south-campania-region	Italy South Campania Region	40º 50' N	14º 15' E	Parents live at same location	Urban and Rural	Disease Study Patients	Caucasoid	Europe	1089	2004	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Italy%20South%20Campania%20Region	2026-08-26
italy-torino-cytokine	Italy Torino Cytokine	45º 0' N	7º 0' E	Parents live at same location	Urban	Controls for Disease Study	Caucasoid	Europe	140	2002	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Italy%20Torino%20Cytokine	2026-08-26
italy-turin	Italy Turin	42º 50' N	12º 50' E	Not Known	Unknown	Controls for Disease Study	Caucasoid	Europe	87	1991	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Italy%20Turin	2026-08-26
italy-west-sicily-kir	Italy West Sicily KIR	38º 0' N	13º 18' E	Grandparents live at same location	Unknown	Controls for Disease Study	Caucasoid	Europe	60	2016	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Italy%20West%20Sicily%20KIR	2026-08-26
italy-pop-2	Italy pop 2	41º 54' N	12º 30' E	Not Known	Urban and Rural	Controls for Disease Study	Caucasoid	Europe	53	1996	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Italy%20pop%202	2026-08-26
italy-pop-3	Italy pop 3	41º 42' N	15º 44' E	Not Known	Unknown	Controls for Disease Study	Caucasoid	Europe	179	2001	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Italy%20pop%203	2026-08-26
italy-pop-4	Italy pop 4	44º 24' N	8º 55' E	Not Known	Unknown	Bone Marrow Registry	Caucasoid	Europe	4575	2009	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Italy%20pop%204	2026-08-26
italy-pop-5	Italy pop 5	45º 28' N	9º 11' E	Not Known	Unknown	Bone Marrow Registry	Caucasoid	Europe	975 (B = 1643, C = 1569, DQB1 = 2087, DRB1 = 22114)	2011	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Italy%20pop%205	2026-08-26
italy-pop-6	Italy pop 6	41º 53' N	12º 29' E	Not Known	Urban and Rural	Controls for Disease Study	Caucasoid	Europe	184	2013	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Italy%20pop%206	2026-08-26
ivory-coast-abidjan-kir	Ivory Coast Abidjan KIR	5º 20' N	4º 1' W	Not Known	Urban	Blood Donor	Black	Sub-Saharan Africa	25	2005	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Ivory%20Coast%20Abidjan%20KIR	2026-08-26
ivory-coast-adiopodoume-akan	Ivory Coast Adiopodoume Akan	5º 20' N	4º 0' W	Not Known	Rural	Anthropology Study	Black	Sub-Saharan Africa	44	2000	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Ivory%20Coast%20Adiopodoume%20Akan	2026-08-26
jamaica	Jamaica	17º 59' N	76º 49' W	Not Known	Urban and Rural	Anthropology Study	Black	South and Central America	132	1995	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Jamaica	2026-08-26
japan	Japan	35º 41' N	139º 46' E	Not Known	Unknown	Anthropology Study	Oriental	North-East Asia	50	1995	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Japan	2026-08-26
japan-aichi	Japan Aichi	35º 11' N	136º 54' E	Not Known	Urban	Other	Oriental	North-East Asia	50	1995	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Japan%20Aichi	2026-08-26
japan-central	Japan Central	35º 41' N	139º 46' E	Not Known	Unknown	Anthropology Study	Oriental	North-East Asia	371	1999	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Japan%20Central	2026-08-26
japan-cytokine	Japan Cytokine	37º 36' N	138º 2' E	Not Known	Urban and Rural	Other	Oriental	North-East Asia	575	1997	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Japan%20Cytokine	2026-08-26
japan-fukuoka	Japan Fukuoka	33º 35' N	130º 24' E	Not Known	Urban and Rural	Anthropology Study	Oriental	North-East Asia	86	2000	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Japan%20Fukuoka	2026-08-26
japan-hokkaido-ainu	Japan Hokkaido Ainu	43º 0' N	142º 0' E	Not Known	Rural	Anthropology Study	Oriental	North-East Asia	50	1995	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Japan%20Hokkaido%20Ainu	2026-08-26
japan-hokkaido-wajin	Japan Hokkaido Wajin	43º 0' N	142º 0' E	Not Known	Rural	Controls for Disease Study	Oriental	North-East Asia	71	2004	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Japan%20Hokkaido%20Wajin	2026-08-26
japan-hyogo	Japan Hyogo	34º 0' N	135º 0' E	Not Known	Urban	Anthropology Study	Oriental	North-East Asia	32	1998	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Japan%20Hyogo	2026-08-26
japan-hyogo-osaka-and-nagano	Japan Hyogo Osaka and Nagano	34º 41' N	135º 30' E	Not Known	Unknown	Anthropology Study	Oriental	North-East Asia	195	1995	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Japan%20Hyogo%20Osaka%20and%20Nagano	2026-08-26
japan-kir	Japan KIR	35º 41' N	139º 46' E	Not Known	Unknown	Controls for Disease Study	Oriental	North-East Asia	50	1995	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Japan%20KIR	2026-08-26
japan-kir-pop-2	Japan KIR pop 2	35º 41' N	139º 46' E	Not Known	Urban and Rural	Anthropology Study	Oriental	North-East Asia	41	2001	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Japan%20KIR%20pop%202	2026-08-26
japan-kir-pop-3	Japan KIR pop 3	35º 41' N	139º 46' E	Not Known	Unknown	Anthropology Study	Oriental	North-East Asia	132	2005	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Japan%20KIR%20pop%203	2026-08-26
japan-kir-pop-4	Japan KIR pop 4	35º 42' N	139º 42' E	Not Known	Urban	Anthropology Study	Oriental	North-East Asia	49	2006	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Japan%20KIR%20pop%204	2026-08-26
japan-kyoto-kir	Japan Kyoto KIR	35º 1' N	135º 46' E	Not Known	Urban and Rural	Controls for Disease Study	Oriental	North-East Asia	240	2006	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Japan%20Kyoto%20KIR	2026-08-26
japan-kyoto-and-osaka	Japan Kyoto and Osaka	35º 1' N	135º 46' E	Not Known	Unknown	Controls for Disease Study	Oriental	North-East Asia	165	2001	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Japan%20Kyoto%20and%20Osaka	2026-08-26
japan-mic	Japan MIC	34º 41' N	135º 12' E	Not Known	Unknown	Anthropology Study	Oriental	North-East Asia	130	1998	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Japan%20MIC	2026-08-26
japan-mic-pop-2	Japan MIC pop 2	35º 41' N	139º 46' E	Not Known	Unknown	Other	Oriental	North-East Asia	152	1999	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Japan%20MIC%20pop%202	2026-08-26
japan-mic-pop-3	Japan MIC pop 3	35º 41' N	139º 46' E	Not Known	Unknown	Blood Donor	Oriental	North-East Asia	114	1998	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Japan%20MIC%20pop%203	2026-08-26
japan-nagano	Japan Nagano	36º 38' N	138º 11' E	Not Known	Rural	Controls for Disease Study	Oriental	North-East Asia	57	2004	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Japan%20Nagano	2026-08-26
japan-okinawa-ryukyuan	Japan Okinawa Ryukyuan	26º 4' N	127º 8' E	Not Known	Rural	Anthropology Study	Oriental	North-East Asia	143	1995	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Japan%20Okinawa%20Ryukyuan	2026-08-26
japan-south	Japan South	33º 55' N	130º 24' E	Not Known	Urban and Rural	Controls for Disease Study	Oriental	North-East Asia	125	2007	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Japan%20South	2026-08-26
japan-tohoku-region	Japan Tohoku Region	38º 54' N	140º 41' E	Not Known	Unknown	Controls for Disease Study	Oriental	North-East Asia	322	2008	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Japan%20Tohoku%20Region	2026-08-26
japan-tokyo-kir	Japan Tokyo KIR	35º 41' N	139º 46' E	Not Known	Urban	Controls for Disease Study	Oriental	North-East Asia	239	2005	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Japan%20Tokyo%20KIR	2026-08-26
japan-tokyo-mic	Japan Tokyo MIC	35º 41' N	139º 46' E	Not Known	Urban and Rural	Anthropology Study	Oriental	North-East Asia	352	1996	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Japan%20Tokyo%20MIC	2026-08-26
japan-pop-1	Japan pop 1	35º 40' N	139º 40' E	Not Known	Unknown	Controls for Disease Study	Oriental	North-East Asia	560	2013	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Japan%20pop%201	2026-08-26
japan-pop-10	Japan pop 10	38º 16' N	140º 52' E	Not Known	Unknown	Controls for Disease Study	Oriental	North-East Asia	332	2007	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Japan%20pop%2010	2026-08-26
japan-pop-11	Japan pop 11	35º 41' N	139º 46' E	Not Known	Unknown	Controls for Disease Study	Oriental	North-East Asia	62	2001	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Japan%20pop%2011	2026-08-26
japan-pop-13	Japan pop 13	34º 31' N	135º 48' E	Not Known	Unknown	Anthropology Study	Oriental	North-East Asia	50	2001	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Japan%20pop%2013	2026-08-26
japan-pop-14	Japan pop 14	35º 41' N	139º 46' E	Not Known	Unknown	Anthropology Study	Oriental	North-East Asia	54	1995	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Japan%20pop%2014	2026-08-26
japan-pop-15	Japan pop 15	31º 36' N	130º 33' E	Not Known	Unknown	Anthropology Study	Oriental	North-East Asia	41	1998	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Japan%20pop%2015	2026-08-26
japan-pop-16	Japan pop 16	35º 41' N	139º 46' E	Grandparents live at same location	Urban and Rural	Anthropology Study	Oriental	North-East Asia	18604	2013	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Japan%20pop%2016	2026-08-26
japan-pop-17	Japan pop 17	37º 36' N	138º 2' E	Grandparents live at same location	Urban and Rural	Other	Oriental	North-East Asia	3078	2014	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Japan%20pop%2017	2026-08-26
japan-pop-2	Japan pop 2	35º 41' N	139º 46' E	Not Known	Urban and Rural	Anthropology Study	Oriental	North-East Asia	916	1995	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Japan%20pop%202	2026-08-26
japan-pop-3	Japan pop 3	35º 41' N	139º 46' E	Not Known	Unknown	Anthropology Study	Oriental	North-East Asia	1018	2004	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Japan%20pop%203	2026-08-26
japan-pop-4	Japan pop 4	35º 41' N	139º 46' E	Not Known	Unknown	Controls for Disease Study	Oriental	North-East Asia	525	1998	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Japan%20pop%204	2026-08-26
japan-pop-5	Japan pop 5	35º 41' N	139º 46' E	Not Known	Unknown	Anthropology Study	Oriental	North-East Asia	117	1995	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Japan%20pop%205	2026-08-26
japan-pop-6	Japan pop 6	34º 41' N	135º 30' E	Not Known	Unknown	Controls for Disease Study	Oriental	North-East Asia	129	2005	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Japan%20pop%206	2026-08-26
japan-pop-7	Japan pop 7	35º 41' N	139º 46' E	Not Known	Unknown	Controls for Disease Study	Oriental	North-East Asia	317	2000	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Japan%20pop%207	2026-08-26
japan-pop-8	Japan pop 8	35º 41' N	139º 46' E	Not Known	Unknown	Controls for Disease Study	Oriental	North-East Asia	308	2000	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Japan%20pop%208	2026-08-26
japan-pop-9	Japan pop 9	35º 41' N	139º 46' E	Not Known	Unknown	Controls for Disease Study	Oriental	North-East Asia	132	2006	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Japan%20pop%209	2026-08-26
jordan	Jordan	31º 57' N	35º 56' E	Parents live at same location	Urban and Rural	Blood Donor	Arab	Western Asia	15141	2011	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Jordan	2026-08-26
jordan-amman	Jordan Amman	31º 35' N	36º 20' E	Not Known	Urban and Rural	Anthropology Study	Arab	Western Asia	146	2000	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Jordan%20Amman	2026-08-26
jordan-cytokine	Jordan Cytokine	32º 33' N	35º 51' E	Not Known	Unknown	Controls for Disease Study	Arab	Western Asia	118	2009	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Jordan%20Cytokine	2026-08-26
jordan-palestine-kir	Jordan Palestine KIR	31º 35' N	36º 20' E	Not Known	Unknown	Controls for Disease Study	Arab	Western Asia	105	2000	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Jordan%20Palestine%20KIR	2026-08-26
kazakhstan-mic	Kazakhstan MIC	51º 10' N	71º 30' E	Not Known	Unknown	Anthropology Study	Asian	Central Asia	38	1996	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Kazakhstan%20MIC	2026-08-26
kenya	Kenya	1º 28' S	36º 8' E	Not Known	Rural	Anthropology Study	Black	Sub-Saharan Africa	144	2002	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Kenya	2026-08-26
kenya-kir	Kenya KIR	1º 16' N	36º 48' E	Not Known	Urban and Rural	Disease Study Patients	Black	Sub-Saharan Africa	1000	2007	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Kenya%20KIR	2026-08-26
kenya-luo	Kenya Luo	0º 0' S	34º 6' E	Not Known	Rural	Anthropology Study	Black	Sub-Saharan Africa	265	2002	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Kenya%20Luo	2026-08-26
kenya-nandi	Kenya Nandi	0º 0' S	35º 0' E	Not Known	Rural	Anthropology Study	Black	Sub-Saharan Africa	240	2002	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Kenya%20Nandi	2026-08-26
kenya-nyanza-province-luo-tribe	Kenya, Nyanza Province, Luo tribe	0º 5' S	34º 46' E	Not Known	Urban and Rural	Other	Black	Sub-Saharan Africa	100	2011	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Kenya%2C%20Nyanza%20Province%2C%20Luo%20tribe	2026-08-26
kiribati	Kiribati	1º 28' S	173º 2' E	Not Known	Rural	Anthropology Study	Micronesian	Oceania	62	1995	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Kiribati	2026-08-26
korea-pop-2-kir	Korea pop 2 KIR	37º 33' N	126º 57' E	Not Known	Unknown	Controls for Disease Study	Oriental	North-East Asia	159	2012	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Korea%20pop%202%20KIR	2026-08-26
kosovo	Kosovo	42º 34' N	21º 0' E	Not Known	Urban and Rural	Controls for Disease Study	Unknown	Europe	124	2018	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Kosovo	2026-08-26
latvia	Latvia	56º 50' N	24º 45' E	Not Known	Urban and Rural	Blood Donor	Caucasoid	Europe	266 (A = 264, B = 265, C = 263, DPB1 = 265, DQA1 = 264, DQB1 = 262, DRB1 = 264)	2024	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Latvia	2026-08-26
latvia-kir	Latvia KIR	57º 0' N	25º 0' E	Not Known	Urban	Controls for Disease Study	Caucasoid	Europe	100	2004	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Latvia%20KIR	2026-08-26
latvia-mic	Latvia MIC	57º 0' N	25º 0' E	Not Known	Unknown	Controls for Disease Study	Caucasoid	Europe	108	2001	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Latvia%20MIC	2026-08-26
lebanon-kir	Lebanon KIR	33º 54' N	35º 32' E	Not Known	Urban	Bone Marrow Registry	Arab	Western Asia	120	2004	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Lebanon%20KIR	2026-08-26
lebanon-kafar-zubian	Lebanon Kafar Zubian	33º 54' N	35º 32' E	Not Known	Rural	Anthropology Study	Arab	Western Asia	94 (DPB1 = 61)	1996	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Lebanon%20Kafar%20Zubian	2026-08-26
lebanon-mixed	Lebanon Mixed	33º 54' N	35º 32' E	Not Known	Unknown	Anthropology Study	Mixed	Western Asia	97	2005	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Lebanon%20Mixed	2026-08-26
lebanon-niha-el-shouff	Lebanon Niha el Shouff	33º 35' N	35º 49' E	Not Known	Rural	Anthropology Study	Arab	Western Asia	61 (DPB1 = 33)	1996	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Lebanon%20Niha%20el%20Shouff	2026-08-26
lebanon-yuhmur	Lebanon Yuhmur	33º 54' N	35º 32' E	Not Known	Rural	Anthropology Study	Arab	Western Asia	82 (DPB1 = 52)	1996	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Lebanon%20Yuhmur	2026-08-26
lebanon-pop-2	Lebanon pop 2	33º 54' N	35º 32' E	Not Known	Urban	Anthropology Study	Arab	Western Asia	191	2001	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Lebanon%20pop%202	2026-08-26
liberia-bong-county	Liberia Bong County	7º 0' N	9º 40' W	Not Known	Rural	Anthropology Study	Black	Sub-Saharan Africa	110	1997	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Liberia%20Bong%20County	2026-08-26
libya-cyrenaica	Libya Cyrenaica	32º 7' N	20º 4' E	Grandparents live at same location	Urban	Anthropology Study	Mixed	North Africa	118	2013	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Libya%20Cyrenaica	2026-08-26
macedonia	Macedonia	41º 32' N	21º 42' E	Parents live at same location	Urban and Rural	Other	Caucasoid	Europe	286	2016	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Macedonia	2026-08-26
macedonia-cytokine	Macedonia Cytokine	42º 0' N	21º 0' E	Grandparents live at same location	Urban and Rural	Anthropology Study	Caucasoid	Europe	125	2002	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Macedonia%20Cytokine	2026-08-26
macedonia-kir	Macedonia KIR	42º 0' N	21º 0' E	Grandparents live at same location	Urban and Rural	Anthropology Study	Caucasoid	Europe	214	2009	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Macedonia%20KIR	2026-08-26
macedonia-mbmdr-albanian	Macedonia MBMDR - Albanian	41º 46' N	22º 19' E	Parents live at same location	Urban and Rural	Bone Marrow Registry	Caucasoid	Europe	128	2017	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Macedonia%20MBMDR%20-%20Albanian	2026-08-26
macedonia-mbmdr-macedonian	Macedonia MBMDR - Macedonian	41º 46' N	22º 19' E	Parents live at same location	Urban and Rural	Bone Marrow Registry	Caucasoid	Europe	1283	2017	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Macedonia%20MBMDR%20-%20Macedonian	2026-08-26
macedonia-mbmdr-macedonian-muslims	Macedonia MBMDR - Macedonian Muslims	41º 46' N	22º 19' E	Parents live at same location	Urban and Rural	Bone Marrow Registry	Caucasoid	Europe	76	2017	https://www.allelefrequencies.net/pop6001c.asp?pop_name=Macedonia%20MBMDR%20-%20Macedonian%20Muslims	2026-08-26
